"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Oct 15 15:42:05 GMT 2023","Sun Oct 15 15:42:05 GMT 2023","0","tests","test_steps","","","","test_dynamic_steps",""
"skipped","Sun Oct 15 15:42:05 GMT 2023","Sun Oct 15 15:42:05 GMT 2023","0","tests","test_steps","","","","test_decorator_steps",""
"broken","Sun Oct 15 15:42:03 GMT 2023","Sun Oct 15 15:42:04 GMT 2023","963","tests","test_github","","","","test_gihub_wiht_allure_step",""
"skipped","Sun Oct 15 15:42:05 GMT 2023","Sun Oct 15 15:42:05 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"skipped","Sun Oct 15 15:42:05 GMT 2023","Sun Oct 15 15:42:05 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"passed","Sun Oct 15 15:42:01 GMT 2023","Sun Oct 15 15:42:01 GMT 2023","0","tests","test_attachments","","","","test_attachments",""
"broken","Sun Oct 15 15:42:04 GMT 2023","Sun Oct 15 15:42:05 GMT 2023","967","tests","test_github","","","","test_github_with_decorator_allure",""
"skipped","Sun Oct 15 15:42:05 GMT 2023","Sun Oct 15 15:42:05 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"skipped","Sun Oct 15 15:42:05 GMT 2023","Sun Oct 15 15:42:05 GMT 2023","0","tests","test_selene","","","","test_github",""
"broken","Sun Oct 15 15:42:01 GMT 2023","Sun Oct 15 15:42:02 GMT 2023","1927","tests","test_github","","","","test_gihub_wihtout_allure",""
